I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
7897		128	2	23					 6.5		 6.5					8	CHINA		CHINA:  GANSU PROVINCE:  GANGU	  34.700	  105.400	30		2						2		2				2						2		2		
66		138	3	1					 6.8		 6.8					9	CHINA		CHINA:  GANSU PROVINCE	  35.800	  103.500	30		3						3		3				3						3		3		
5883	Tsu	142															GREECE		GREECE:  RHODES	  36.700	   28.000	130																								
7898		143	10						 7.0		 7.0					9	CHINA		CHINA:  GANSU PROVINCE	  34.700	  105.300	30		1						1						1						1				
67		155					    	100								10	GREECE		GREECE:  DODECANESE ISLANDS	  36.500	   28.500	130																								
68		170					    										GREECE		GREECE-TURKEY:  VITINIA,HELLESPONT	  39.000	   24.500	130								3																
5884	Tsu	173	6	28													CHINA		CHINA:  YELLOW SEA	  37.500	  120.000	30																								
69		177														7	TURKEY		TURKEY: IZMIR, AEGEAN ISLANDS	  38.600	   26.650	140		3						2						3						2				
9757	Tsu	177														9	ITALY		ITALY:  SICILY	  38.000	   15.000	130								3												3				
70		180	9						 7.5		 7.5					10	CHINA		CHINA:  GANSU PROVINCE	  39.400	   99.500	30																								
71		243					    		 5.3						 5.3		ITALY		ITALY:  VERONA,BENACO	  45.300	   11.000	130								4																
72		251	7	9			    									10	GREECE		GREECE:  CRETE	  35.500	   25.500	130																								
73		253	7	9			    									10	TURKEY		TURKEY	  39.100	   27.200	140																								
9984	Tsu	258														8	ITALY		ITALY:  ROME	  41.900	   12.450	130								3	1001	4										3	1001	4		
8199	Tsu	262															TURKEY		TURKEY:  S COASTS; LIBYA	  36.600	   30.000	140		3						2		3				3						2		3		
7899		294	7						 5.5		 5.5					7	CHINA		CHINA:  ANHUI PROVINCE:  SHOUXIAN	  32.600	  116.800	30		1												1										
74		294	9						 5.5		 5.5					7	CHINA		CHINA:  BEIJING	  40.300	  116.000	30	     101	3											     101	3										
75		304					    		 6.3						 6.3	8	SOUTH KOREA		SOUTH KOREA:  KYONGJU	  35.500	  129.100	30		3						2																
76		306					    									9	LEBANON		LEBANON:  SUR (TYRE), SAYDA (SAIDA)	  33.200	   35.100	140								3																
9988	Tsu	315															ISRAEL		ISRAEL:  AEROPOLIS	  31.700	   35.500	140								1												1				
7900		319	6	17					 4.5		 4.5						CHINA		CHINA:  GANSU PROVINCE:  XIHE	  34.100	  105.300	30		2												2										
77		324	8	6			    									10	ITALY		ITALY:  CAMPANIA	  40.500	   14.500	130																								
78		334					    									10	ALBANIA		ALBANIA:  DURRES	  41.200	   19.300	130																								
79		340					    									9	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.100	   36.100	140								3																
80		341					    									7	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.200	   36.100	140																								
81		342															TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.200	   36.100	140	   40000	4						4					   40000	4						4				
82		342														10	ALBANIA		ALBANIA:  DURRES	  41.300	   19.500	130								2												2				
85		344	4	11												10	ITALY		ITALY:  CAMPANIA	  40.500	   14.500	130																								
84	Tsu	344														9	TURKEY		TURKEY:  DARDANELLES	  40.300	   26.500	140								3												3				
83		344															CHINA		CHINA:  HENAN PROVINCE	  35.400	  114.300	30	     101	3											     101	3										
9989	Tsu	346							 6.8		 6.8					9	ALBANIA		ALBANIA:  DURRES (DYRRACHIUM)	  41.400	   19.400	130								2		3										2		3		
86	Tsu	348														9	LEBANON		LEBANON:  BAYRUT (BEROUTH)	  33.900	   35.500	140								3																
87		350	10				    									10	TURKEY		TURKEY	  41.000	   30.000	140																								
88		355					    									9	TURKEY		TURKEY:  IZMIT,NICOMEDIA	  40.700	   29.700	140								3																
89	Tsu	358	8	24												7	TURKEY		TURKEY:  IZNIK, IZMIT [NICOMEDIA]	  40.770	   29.900	140		3						3						3						3		3		
91		361														12	MACEDONIA		BALKANS NW:  MACEDONIA:  STOBI	  41.600	   21.500	130								4																
92	Tsu	362	5	24					 6.4		 6.4						JORDAN		JORDAN:  AL-KARAK	  31.300	   35.600	140								3												3				
93		362	12	2												10	TURKEY		TURKEY	  41.000	   29.500	140																								
95	Tsu	365	7	21					 8.0		 8.0					11	GREECE		GREECE:  CRETE:  KNOSSOS	  35.000	   23.000	130		3						4		3		3	    5000	4						4		3		
98		367	10	11			    										TURKEY		TURKEY:  IZNIK,NICAEA	  40.700	   29.700	140	    1000	3						3																
99		368	10	11													TURKEY		TURKEY:  NICAEA [IZNIK]	  40.000	   29.000	140								3												3				
8239		368							 6.4		 6.4					8	TURKEY		TURKEY:  MARMARA SEA	  40.500	   29.600	140								2												2				
100		369														10	ITALY		ITALY:  BENEVENTO	  41.100	   14.800	130																								
9758	Tsu	382															PORTUGAL		PORTUGAL:  CABO SAN VICENTE:  SW	  36.000	  -10.830	130																								
101		394					    									9	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.100	   36.100	140								3																
102		396					    									9	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.100	   36.100	140								3																
5885	Tsu	407	4	1					 6.6		 6.6					8	TURKEY		TURKEY:  MARMARA SEA	  41.000	   29.000	140								1												1				
103		412														10	TUNISIA		TUNISIA:  UTIQUE	  37.067	   10.067	15																								
104		419															ISRAEL		ISRAEL:  PALESTINE	  31.200	   34.200	140								3																
106		425														10	ISRAEL		ISRAEL:  JERUSALEM, PALESTINE, RAMLEH; EGYPT	  31.900	   34.900	140								3												3				
109		427					    	12	 6.7						 6.7	10	AZERBAIJAN		AZERBAIJAN	  40.500	   46.500	40								3																
110		438					    									10	GREECE		GREECE:  CRETE	  35.500	   25.500	130																								
112		440	10	26			    									7	TURKEY		TURKEY:  ISTANBUL (CONSTANTINOPLE)	  41.000	   29.000	140								3																
5887	Tsu	447	1	26					 7.3		 7.3					9	TURKEY		TURKEY:  ISTANBUL (CONSTANTINOPLE)	  40.900	   28.500	140		3						3		3				3						3		3		
114		448	9	6			    									10	GREECE		GREECE:  CRETE	  35.000	   25.000	130																								
9972	Tsu	450														5	TURKEY		INSTANBUL (CONSTANTINOPLE)	  40.400	   28.400	140																								
115		457														10	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.200	   36.100	140								4												4				
116		458	9													9	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.200	   36.100	140	   80000	4						3					   80000	4						3				
117		460	7	22												12	THAILAND		THAILAND:  YONOK-NAGABANDHU	  20.300	  100.000	60		3						3						3						3				
118		470					    										FRANCE		FRANCE:  VIENNE,VIVARAIS,DAUPHINE,VELAY,FOREZ	  44.400	    4.300	120								3																
119		477	9	25			    									10	TURKEY		TURKEY:  ISTANBUL (CONSTANTINOPLE)	  41.000	   29.000	140		3						3																
5888	Tsu	478	9	25					 7.2		 7.2					9	TURKEY		TURKEY:  MARMARA SEA	  40.800	   29.200	140																								
121		494					    									10	LEBANON		LEBANON:  TARABULUS (TRIPOLIS); SYRIA	  34.300	   35.500	140								3																
8090		499	8	4												6	CHINA		CHINA:  JIANGSU PROVINCE	  32.100	  118.800	30								2		3										2		3		
122		500					    	20	 6.7						 6.7	8	KAZAKHSTAN		KAZAKHSTAN	  42.700	   76.500	40								3																
123		501							 6.3						 6.3	8	NORTH KOREA		NORTH KOREA:  PYONGYANG	  39.000	  125.300	30		3						2																
124		510					    		 6.3						 6.3	8	SOUTH KOREA		SOUTH KOREA:  KYONGJU	  35.500	  129.100	30		3						2																
125		512	5	21					 7.5		 7.5					10	CHINA		CHINA:  SHAANXI PROVINCE:  YINGXIAN	  39.400	  113.300	30	    5130	4			      2720	4		4					    5130	4			2720	4		4				
126		518														12	MACEDONIA		BALKANS NW:  MACEDONIA:  SKOPJE, STAMER	  42.000	   21.400	130								4																
128		521					    										GREECE		GREECE:  DURRES,KORINTHOS	  39.600	   21.200	130								3																
129		522					    									10	SYRIA		SYRIA	  36.200	   36.100	140								3																
130		522					    									10	ALBANIA		ALBANIA:  DURRES	  41.200	   19.300	130																								
131		525	5	29					 7.0		 7.0					9	TURKEY		TURKEY:  ANTAKYA (ANTIOCH), SAMANDAG	  36.250	   36.100	140	  250000	4						4					  250000	4						4				
132		527					    									10	GREECE		GREECE-ALBANIA	  40.100	   20.800	130																								
134		528	11	29					 7.1		 7.1					10	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.250	   36.100	140	    4870	4						4					    4870	4						4				
136		533	11	29													SYRIA		SYRIA:  ALEPPO	  36.200	   37.200	140	  130000	4											  130000	4										
5889	Tsu	543							 6.8		 6.8					10	TURKEY		TURKEY:  CYZICUS	  40.300	   27.800	140								3						3						3				
138	Tsu	551	7	7												11	GREECE		GREECE:  SCHISMA, BOETIA	  38.400	   22.300	130																								
139	Tsu	551	7	9												10	LEBANON		LEBANON:  BAYRUT (BEIRUT); EGYPT; IRAQ;SAUDI ARABIA	  33.900	   35.500	140								3																
10058	Tsu	551															GREECE		GREECE:  MALIAKOS GULF			130																								
140		552	7	9			    									10	SYRIA		SYRIA:  HALAB (ALEPPO); TURKEY:  ANTAKYA (ANTIOCH)	  36.100	   37.100	140								3																
141		553	7	9			    									10	LEBANON		LEBANON:  BAYRUT (BEIRUT)	  33.900	   35.500	140								3																
5892	Tsu	554	8	15													TURKEY		TURKEY: MANDELIA	  36.500	   27.500	140																								
143		555	8	15												10	TURKEY		TURKEY:  ISTANBUL (CONSTANTINOPLE)	  41.040	   28.980	140																								
145		557	7	9												10	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.100	   36.100	140								3		3										3		3		
5893		557	10	14													TURKEY		TURKEY:  MARMARA SEA	  40.900	   27.600	140																								
9971	Tsu	557							 7.0		 7.0					9	TURKEY		TURKEY:  ISTANBUL (CONSTANTINOPLE)	  40.900	   27.600	140																								
146	Tsu	558	12	14					 7.0		 7.0					9	TURKEY		TURKEY	  40.900	   28.800	140																								
147		558	12	25												10	ITALY		ITALY:  ANCONA	  43.600	   13.500	130								3												3				
148		565					    										TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.200	   36.100	140	   30000	4																						
149		567					    									10	SLOVENIA		BALKANS NW:  SLOVENIA	  45.600	   15.300	130																								
150		579					    										TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.000	   36.000	140								3																
151		581	7	9			    									9	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.100	   36.100	140								3																
152		587	9	30												9	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.250	   36.100	140	   60000	4						4					   60000	4						4				
154		600	12	13												7	CHINA		CHINA:  SHAANXI PROVINCE	  34.300	  108.900	30	     101	3						2		3			     101	3						2		3		
155		614					    										ITALY		ITALY	  41.000	   15.000	130	    1000	3						3																
156		634					    										IRAN		IRAN:  TABRIZ	  38.000	   46.200	140								3																
158		649	9	12					 5.5		 5.5					7	CHINA		CHINA:  SHAANXI PROVINCE:  LINFEN	  36.100	  111.500	30	      50	1						2		2			      50	1						2		2		
159		662	4	26			    										IRAN		IRAN:  QUMIS:  SEMNAN,DAMGHAN	  35.300	   54.000	140	   40000	4						3																
160		664	9	12			    		 6.3						 6.3	8	SOUTH KOREA		SOUTH KOREA:  KYONGJU	  35.500	  129.100	30								3																
161		678					    									7	IRAQ		IRAQ:  JAZIRAH:  BETWEEN TIGRIS AND THARTHAR RIVERS	  35.000	   43.500	140								3																
162	Tsu	684	11	29					 8.4		 8.4						JAPAN		JAPAN	  32.500	  134.000	30		3						3						3						3				
163		688														9	TURKEY		TURKEY:  IZMIR	  38.400	   27.200	140	    2000	4						3																
5894	Tsu	701	5	12					 7.0		 7.0						JAPAN		JAPAN:  KYOTO PREFECTURE	  35.700	  135.400	30																								
5895	Tsu	704	8	2					 7.0		 7.0						JAPAN		JAPAN:  KUMANONADA	  33.800	  136.700	30																								
166		713	3	20												7	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.000	   36.000	140								3																
167		715					    									9	TURKEY		TURKEY:  IZNIK	  40.400	   28.900	140								2																
168		716	8	25			    										TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.000	   36.000	140								2																
169		734	3	19					 7.0		 7.0					9	CHINA		CHINA:  GANSU PROVINCE:  TIANSHUI	  34.600	  105.600	30	     101	3						2		3			     101	3						2		3		
170		735	6	21			    	16	 5.8						 5.8	8	ARMENIA		ARMENIA:  BAYOTSDZOR	  39.700	   45.500	40								2																
171	Tsu	740	10	26					 7.3		 7.3					9	TURKEY		TURKEY:  ISTANBUL (CONSTANTINOPLE)	  40.700	   29.300	140		3						3		3				3						3		3		
172		742					    										SYRIA		SYRIA;  ISRAEL; ASIA	  35.000	   38.000	140		3						3																
173		743							 7.2		 7.2					9	IRAN		IRAN:  EIVAN-E-KAY	  35.300	   52.200	140								3												3				
174		743						20	 5.5		 5.5					7	RUSSIA		RUSSIA:  CASPIAN SEA	  42.100	   48.200	40								1												1				
9810	Tsu	744	6	30					 6.4		 6.4						JAPAN		JAPAN:  SHIMABARA, YATSUSHIRO, HIGO	  32.400	  130.500	30													    1520	4						2	470	3		
175		745	6	5					 7.9		 7.9						JAPAN		JAPAN:  MINO	  35.500	  136.900	30								3												3				
5896	Tsu	745	6	9					 6.5		 6.5						JAPAN		JAPAN: OSAKA BAY	  34.600	  135.300	30														3										
177	Tsu	746	1	18			    		 7.0						 7.0	11	ISRAEL		ISRAEL:  TEVERYA (TIBERIAS), ARIHA (JERICHO)	  32.000	   35.500	140								3																
178		748	8	31													SYRIA		SYRIA:  DIMASHQ (DAMASCUS)	  33.500	   36.300	140								2																
180		749	1	25												10	IRAQ		IRAQ:  JAZIRAH:  NE OF THARTHAR RIVER	  35.000	   43.500	140								3																
181		758					    									7	ISRAEL		ISRAEL:  PALESTINE; SYRIA:  HALAB; TURKEY:  ANTAKYA	  31.200	   34.200	140								2																
183		763							 7.6		 7.6						IRAN		IRAN:  KHURASAN	  33.300	   59.300	140																								
7341	Tsu	766	7	20					 6.5						 6.5		JAPAN		JAPAN:  N. KAGOSHIMA BAY	  31.600	  130.700	30														3										
185		777														8	CHINA		CHINA:  HEBEI PROVINCE:  SHULU, NINGJIN	  37.800	  115.200	30	     200	3						2		3			     200	3						2		3		
187		778							 5.6						 5.6		ITALY		ITALY:  TREVISO	  45.400	   12.200	130	      48	1						2																
7901		778															CHINA		CHINA:  HUNAN PROVINCE: HOANG KIN CHAN	  28.100	  111.400	30		3												3										
188		780					    		 6.3						 6.3	8	SOUTH KOREA		SOUTH KOREA:  KYONGJU	  35.500	  129.100	30	     100	2						2																
190		788	3	8					 6.5		 6.5					8	CHINA		CHINA:  SHAANXI PROVINCE:  ANKANG, FANGXIAN	  32.500	  109.400	30								2		3										2		3		
192		793	4	30			    										ITALY		ITALY:  VERONA	  45.500	   11.000	130		3						3																
193		796	4	7			    	100								10	GREECE		GREECE:  CRETE	  35.000	   25.000	130																								
196		801	4	30	1		    									10	ITALY		ITALY:  ROMA (ROME)	  41.900	   12.600	130								4																
198		802	5	31			    									10	ITALY		ITALY:  PADOVA	  45.400	   11.900	130																								
5897	Tsu	803	12	19													TURKEY		TURKEY: GULF OF ISKENDERUN	  36.950	   35.600	140								1												1				
199		811															UK		UNITED KINGDOM:  SCOTLAND:  ST ANDREWS	  56.300	   -2.800	120	    1400	4						3		3		3	    1400	4						3		3		
200		814	4	2					 7.0		 7.0						CHINA		CHINA:  SICHUAN PROVINCE:  XICHANG	  27.900	  102.200	30	     101	3						1					     101	3						1				
202		818	5	15				50	 7.5		 7.5					8	AFGHANISTAN		AFGHANISTAN; INDIA:  HINDU-KUSH; KAZAHKSTAN:  BALKHA	  36.800	   66.200	40		3						3						3						3				
5898	Tsu	818	8						 7.9		 7.9						JAPAN		JAPAN:  TOKKAIDO	  35.200	  139.300	30		3						2						3						2				
205		820	8	19													CHINA		CHINA:  SHAANXI PROVINCE:  FAN CHONG	  37.400	  112.600	30	      20	1											      20	1										
206		835	1	5			    									9	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.000	   36.000	140								3																
207		838	11	23			    										UZBEKISTAN		UZBEKISTAN:  FERGANA	  40.400	   71.300	40	   15000	4						4																
8262	Tsu	842	10	24													UK		UNITED KINGDOM:  CHANNEL ISLANDS; GAUL	  49.500	   -2.500	120								1												1				
208		844	9	18			    									8	SYRIA		SYRIA:  DIMASHQ (DAMASCUS); TURKEY:  ANTAKYA	  33.500	   36.300	140	   50000	4						4																
209		845	9	6			    										IRAQ		IRAQ:  AL-MAWSIL	  36.200	   43.100	140	   50000	4																						
210		846														8	TURKEY		TURKEY:  ANTAKYA; LEBANON:  HIMS; IRAQ:  MOSUL	  36.100	   36.100	140								3												3				
215		847	6													10	ITALY		ITALY:  MOLISE, ISERNIA	  41.600	   14.200	130								3												3				
216		847	11	24													SYRIA		SYRIA:  DIMASHQ (DAMASCUS)	  33.500	   36.300	140								2												2				
211		847														10	IRAQ		IRAQ:  AL-MAWSIL	  36.210	   42.080	140	   70000	4						3					   70000	4						3				
217		850	7	15													IRAN		IRAN:  REY (RAY)	  35.300	   51.200	140	   45000	4						3					   45000	4										
5899	Tsu	850	11	27					 7.0		 7.0						JAPAN		JAPAN:  YOMAGATA, SHONAI	  39.000	  139.900	30														3						2				
218		851						10	 5.2		 5.2					8	ARMENIA		ARMENIA:  DVIN	  40.000	   44.600	40	   12000	4											   12000	4										
