Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,x coordinate,y coordinate,Location
2010,77,108573,108573,270 Russell Street,Melbourne (CBD),So'bar,90,144.9671591,-37.81011116,"(-37.81011116, 144.9671591)"
2010,57,101219,101219,100-116 Bourke Street,Melbourne (CBD),Bass Lounge,350,144.9697778,-37.81170307,"(-37.81170307, 144.9697778)"
2009,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Melbourne Central Lion Hotel,550,144.9630189,-37.81073331,"(-37.81073331, 144.9630189)"
2009,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Rockstar Bowling,760,144.9630189,-37.81073331,"(-37.81073331, 144.9630189)"
2009,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Hush Bar @ Melbourne Central,200,144.9630189,-37.81073331,"(-37.81073331, 144.9630189)"
2009,64,104659,104659,67-73 Hardware Lane,Melbourne (CBD),Charlie's Bar,143,144.960908,-37.81323451,"(-37.81323451, 144.960908)"
2009,802,575820,575820,1-9 Freshwater Place,Southbank,Blvd Bar,562,144.962154,-37.82167834,"(-37.82167834, 144.962154)"
2009,97,105493,105493,52 La Trobe Street,Melbourne (CBD),Karoke Box,30,144.9672465,-37.80828608,"(-37.80828608, 144.9672465)"
2009,1109,601809,593728,425-427 Docklands Drive,Docklands,BCM Bar & Balcony,350,144.9390269,-37.81517782,"(-37.81517782, 144.9390269)"
2009,64,104659,104659,67-73 Hardware Lane,Melbourne (CBD),The Mill,119,144.960908,-37.81323451,"(-37.81323451, 144.960908)"
2010,33,108067,108067,103-105 Queen Street,Melbourne (CBD),Chaise Lounge,140,144.9608476,-37.81614776,"(-37.81614776, 144.9608476)"
2009,21,606461,606461,607-623 Collins Street,Melbourne (CBD),Batman's Hill On Collins Hotel,1500,144.95469,-37.81929312,"(-37.81929312, 144.95469)"
2009,46,101133,101133,209-215 Bourke Street,Melbourne (CBD),K29 Karaoke Lounge Bar,150,144.9672994,-37.81328093,"(-37.81328093, 144.9672994)"
2009,658,110266,110266,120 Brunton Avenue,East Melbourne,Spotless Services,2800,144.9832828,-37.81992883,"(-37.81992883, 144.9832828)"
2009,28,604143,102058,11 Collins Street,Melbourne (CBD),Recorded Music Salon,110,144.9734622,-37.81377997,"(-37.81377997, 144.9734622)"
2009,357,107890,107890,399-405 Queensberry Street,North Melbourne,Royal Park Hotel/Pub,114,144.9543149,-37.80378609,"(-37.80378609, 144.9543149)"
2009,345,103393,103393,7 Errol Street,North Melbourne,Rrose Cellar and Bar,60,144.9490127,-37.80479755,"(-37.80479755, 144.9490127)"
2009,345,103402,103402,33 Errol Street,North Melbourne,Townhall Hotel North Melbourne,80,144.9489068,-37.80414139,"(-37.80414139, 144.9489068)"
2009,376,508976,110862,42 Courtney Street,North Melbourne,Metropolitan Hotel,100,144.9540178,-37.80139544,"(-37.80139544, 144.9540178)"
2009,347,110920,110920,161-163 Errol Street,North Melbourne,Limerick Castle Hotel & Restaurant,50,144.9496139,-37.80114341,"(-37.80114341, 144.9496139)"
2010,42,105392,105392,120-138 King Street,Melbourne (CBD),The Exchange Hotel,995,144.9564078,-37.81703156,"(-37.81703156, 144.9564078)"
2010,78,108991,108991,267-271 Spring Street,Melbourne (CBD),Elm's Family Hotel,200,144.9714481,-37.8086111,"(-37.8086111, 144.9714481)"
2009,361,109842,109842,240-248 Victoria Street,North Melbourne,Central Club Hotel,150,144.9581264,-37.80591439,"(-37.80591439, 144.9581264)"
2009,214,106186,106186,414-422 Lygon Street,Carlton,Percys Bar & Bistro,120,144.9678126,-37.79694555,"(-37.79694555, 144.9678126)"
2009,369,103507,103507,86-90 Errol Street,North Melbourne,Court House Hotel,50,144.9499557,-37.80287733,"(-37.80287733, 144.9499557)"
2009,4,104034,104034,207-361 Flinders Street,Melbourne (CBD),Clocks At Flinders Street Station,300,144.9654659,-37.81866105,"(-37.81866105, 144.9654659)"
2009,266,106081,106081,27-31 Lygon Street,Carlton,John Curtin Hotel,350,144.9656988,-37.80619915,"(-37.80619915, 144.9656988)"
2010,63,105867,105867,428-432 Little Bourke Street,Melbourne (CBD),DANSK Restaurant,100,144.9597229,-37.81392392,"(-37.81392392, 144.9597229)"
2009,358,109829,109829,312-316 Victoria Street,North Melbourne,Victoria Hotel,130,144.9557051,-37.80563237,"(-37.80563237, 144.9557051)"
2010,67,102198,102198,22-26 Corrs Lane,Melbourne (CBD),Cash Box Ktv,200,144.9683249,-37.8109979,"(-37.8109979, 144.9683249)"
2009,362,103239,103239,547-549 Elizabeth Street,North Melbourne,Musicbox  - Karaoke Bar,150,144.9584784,-37.80538132,"(-37.80538132, 144.9584784)"
2009,362,109843,109843,232-238 Victoria Street,North Melbourne,The Public Bar Hotel,180,144.9585875,-37.80593327,"(-37.80593327, 144.9585875)"
2009,1103,558180,558180,122-148 Harbour Esplanade,Docklands,Locker Room Club Bar,500,144.9475776,-37.81656591,"(-37.81656591, 144.9475776)"
2009,227,576967,576967,184 Rathdowne Street,Carlton,Rathdowne Tavern ,140,144.9712295,-37.79476659,"(-37.79476659, 144.9712295)"
2009,267,106251,106251,66-88 Lygon Street,Carlton,Lagers On Lygon,80,144.9665747,-37.80530329,"(-37.80530329, 144.9665747)"
2009,17,103924,103924,107-109 Flinders Lane,Melbourne (CBD),Bambu Cafe,170,144.9708344,-37.81560645,"(-37.81560645, 144.9708344)"
2009,247,106238,106238,192-202 Lygon Street,Carlton,Players On Lygon,200,144.9670522,-37.80245924,"(-37.80245924, 144.9670522)"
2009,105,103301,103301,442-450 Elizabeth Street,Melbourne (CBD),Fluid Oz Bar ,365,144.9608588,-37.8083077,"(-37.8083077, 144.9608588)"
2009,375,103810,103810,5-17 Flemington Road,North Melbourne,RMIT Village Old Melbourne,356,144.9558713,-37.80140031,"(-37.80140031, 144.9558713)"
2009,377,102236,102236,56-58 Courtney Street,North Melbourne,The Castle Hotel,317,144.953035,-37.8008985,"(-37.8008985, 144.953035)"
2012,613,595153,109643,166 Albert Street,East Melbourne,Cohen Cellars Wine Bar,40,144.9856254,-37.81004657,"(-37.81004657, 144.9856254)"
2012,1103,558180,558180,122-148 Harbour Esplanade,Docklands,Captains Bar ,80,144.9475776,-37.81656591,"(-37.81656591, 144.9475776)"
2012,78,103618,103618,242-284 Exhibition Street,Melbourne (CBD),Coopers Inn,400,144.9699756,-37.80941489,"(-37.80941489, 144.9699756)"
2012,58,101238,101238,2-8 Bourke Street,Melbourne (CBD),Imperial Hotel,300,144.972676,-37.8112003,"(-37.8112003, 144.972676)"
2012,33,108065,108065,93-95 Queen Street,Melbourne (CBD),Decca Bar,167,144.9609695,-37.81637876,"(-37.81637876, 144.9609695)"
2012,42,105392,105392,120-138 King Street,Melbourne (CBD),The Exchange Hotel,995,144.9564078,-37.81703156,"(-37.81703156, 144.9564078)"
2012,43,108068,108068,111-129 Queen Street,Melbourne (CBD),Karstens At CQ ,170,144.9606367,-37.81581152,"(-37.81581152, 144.9606367)"
2012,24,103174,103174,55-57 Elizabeth Street,Melbourne (CBD),E-Fiftyfive,88,144.9641302,-37.81697242,"(-37.81697242, 144.9641302)"
2012,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Equinox Bar Restaurant,80,144.9630189,-37.81073331,"(-37.81073331, 144.9630189)"
2012,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Partyworld,500,144.9630189,-37.81073331,"(-37.81073331, 144.9630189)"
2012,48,105968,105968,62-66 Little Collins Street,Melbourne (CBD),Bridie O'Reillys,285,144.971442,-37.81280958,"(-37.81280958, 144.971442)"
2012,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),Cookie,300,144.9652504,-37.81199559,"(-37.81199559, 144.9652504)"
2012,74,106018,106018,395-397 Little Lonsdale Street,Melbourne (CBD),Horse Bazaar,158,144.9602499,-37.81190077,"(-37.81190077, 144.9602499)"
2012,57,101214,101214,146-150 Bourke Street,Melbourne (CBD),FM Karaoke Bar,100,144.9687387,-37.81235798,"(-37.81235798, 144.9687387)"
2012,66,105878,105878,242-244 Little Bourke Street,Melbourne (CBD),Shanghai Club,209,144.965603,-37.81213633,"(-37.81213633, 144.965603)"
2012,48,103626,103626,114-122 Exhibition Street,Melbourne (CBD),European Bier Cafe,550,144.9711999,-37.81285806,"(-37.81285806, 144.9711999)"
2012,31,102113,102113,546-566 Collins Street,Melbourne (CBD),Nero Bar,80,144.9558446,-37.81824465,"(-37.81824465, 144.9558446)"
2012,103,100160,100160,196-200 A'Beckett Street,Melbourne (CBD),Nomads Industry Backpackers,200,144.9574447,-37.80998494,"(-37.80998494, 144.9574447)"
2012,11,103993,103993,508-514 Flinders Street,Melbourne (CBD),Waterside Hotel,983,144.9571505,-37.820166,"(-37.820166, 144.9571505)"
2012,11,108972,108972,10-22 Spencer Street,Melbourne (CBD),Pensione Hotel Melbourne,50,144.9552421,-37.82050677,"(-37.82050677, 144.9552421)"
2012,355,105636,105636,46-50 Leveson Street,North Melbourne,The Leveson,400,144.9514591,-37.80370014,"(-37.80370014, 144.9514591)"
2012,376,508976,110862,42 Courtney Street,North Melbourne,Metropolitan Hotel,100,144.9540178,-37.80139544,"(-37.80139544, 144.9540178)"
2012,347,110920,110920,161-163 Errol Street,North Melbourne,Limerick Castle Hotel & Restaurant,50,144.9496139,-37.80114341,"(-37.80114341, 144.9496139)"
2012,96,606674,105490,344 Swanston Street,Melbourne (CBD),Caffeine At Re Vault,150,144.9645504,-37.80818365,"(-37.80818365, 144.9645504)"
2012,17,103924,103924,107-109 Flinders Lane,Melbourne (CBD),Bambu Bar,230,144.9708344,-37.81560645,"(-37.81560645, 144.9708344)"
2012,27,541562,102071,121-131 Collins Street,Melbourne (CBD),RU-CO,400,144.9698467,-37.81516811,"(-37.81516811, 144.9698467)"
2012,58,105828,105828,19-25 Little Bourke Street,Melbourne (CBD),Mrs Parma's ,300,144.9719903,-37.81074304,"(-37.81074304, 144.9719903)"
2012,14,103946,103946,313-315 Flinders Lane,Melbourne (CBD),Randy Dragon,100,144.9638507,-37.81763918,"(-37.81763918, 144.9638507)"
2012,33,108064,108064,85-91 Queen Street,Melbourne (CBD),Element Lounge,230,144.9610213,-37.81649711,"(-37.81649711, 144.9610213)"
2012,46,105963,105963,196-212 Little Collins Street,Melbourne (CBD),Hairy Canary,50,144.9671568,-37.81384227,"(-37.81384227, 144.9671568)"
2012,46,108536,108536,115-127 Russell Street,Melbourne (CBD),Portland Hotel,414,144.9681892,-37.81367486,"(-37.81367486, 144.9681892)"
2012,12,105401,105401,14-20 King Street,Melbourne (CBD),Tramp Bar,200,144.9577148,-37.81977635,"(-37.81977635, 144.9577148)"
2012,11,108971,108971,561-585 Flinders Lane,Melbourne (CBD),Holiday Inn On Flinders Melbourne,100,144.9551524,-37.82020482,"(-37.82020482, 144.9551524)"
2012,16,104020,104020,150-162 Flinders Street,Melbourne (CBD),Forum Theatre Bar,1500,144.9693866,-37.81648541,"(-37.81648541, 144.9693866)"
2012,270,104468,104468,156-292 Grattan Street,Parkville,HJC Bar,200,144.9612468,-37.79739836,"(-37.79739836, 144.9612468)"
2012,95,109314,109314,401-405 Swanston Street,Melbourne (CBD),Red Love,200,144.963217,-37.80904283,"(-37.80904283, 144.963217)"
2012,105,103301,103301,442-450 Elizabeth Street,Melbourne (CBD),Fluid Oz Bar ,365,144.9608588,-37.8083077,"(-37.8083077, 144.9608588)"
2012,33,105934,105934,429 Little Collins Street,Melbourne (CBD),Cafe De Tuscany,117,144.960452,-37.8162783,"(-37.8162783, 144.960452)"
2012,760,108642,108642,497-503 St Kilda Road,Melbourne (Remainder),Rok's Cafe,150,144.9790762,-37.84331737,"(-37.84331737, 144.9790762)"
2012,12,104824,104824,11A Highlander Lane,Melbourne (CBD),Highlander Bar,202,144.9579702,-37.81970334,"(-37.81970334, 144.9579702)"
2012,87,106059,106059,100 Little Lonsdale Street,Melbourne (CBD),Gami Chicken and Beer,73,144.9687195,-37.80913623,"(-37.80913623, 144.9687195)"
2012,66,109436,109436,27-29 Tattersalls Lane,Melbourne (CBD),Section 8 Bar,100,144.9653899,-37.81176167,"(-37.81176167, 144.9653899)"
2012,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),The Toff In Town,345,144.9652504,-37.81199559,"(-37.81199559, 144.9652504)"
2012,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),Rooftop Cinema & Bar,200,144.9652504,-37.81199559,"(-37.81199559, 144.9652504)"
2012,14,103172,103172,31-39 Elizabeth Street,Melbourne (CBD),The Joint,329,144.9643316,-37.81741878,"(-37.81741878, 144.9643316)"
2012,803,111175,110477,8 Whiteman Street,Southbank,CO,560,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2012,803,111175,110477,8 Whiteman Street,Southbank,Studio 3 ,900,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2012,753,110606,110380,3 Southgate Avenue,Southbank,P J O'Briens Irish Pub & Side Bar,550,144.9662623,-37.82066923,"(-37.82066923, 144.9662623)"
2012,11,103985,103985,562-564 Flinders Street,Melbourne (CBD),Bertha Brown,270,144.9556291,-37.82056934,"(-37.82056934, 144.9556291)"
2012,361,109842,109842,240-248 Victoria Street,North Melbourne,Central Club Hotel,150,144.9581264,-37.80591439,"(-37.80591439, 144.9581264)"
2012,375,103810,103810,5-17 Flemington Road,North Melbourne,RMIT Village Old Melbourne,356,144.9558713,-37.80140031,"(-37.80140031, 144.9558713)"
2012,13,106435,106435,21-31 Market Street,Melbourne (CBD),The Trust,350,144.9604206,-37.81864585,"(-37.81864585, 144.9604206)"
2012,43,101152,101152,457-471 Bourke Street,Melbourne (CBD),High Fidelity,500,144.9601886,-37.81547268,"(-37.81547268, 144.9601886)"
2012,62,105384,105384,204-208 King Street,Melbourne (CBD),Great Western Hotel,390,144.9554836,-37.81521196,"(-37.81521196, 144.9554836)"
2012,375,103809,103809,1-3 Flemington Road,North Melbourne,Turf Club Hotel ,629,144.9563792,-37.80130394,"(-37.80130394, 144.9563792)"
2012,753,598987,598987, Evan Walker Bridge,Southbank,Ponfish Island,150,144.9650858,-37.81968992,"(-37.81968992, 144.9650858)"
2012,861,102503,102503,161-173 Domain Road,South Yarra,Botanical Hotel,245,144.9816996,-37.83431735,"(-37.83431735, 144.9816996)"
2012,27,102064,102064,69-73 Collins Street,Melbourne (CBD),Cabana Club,180,144.9713489,-37.8143446,"(-37.8143446, 144.9713489)"
2012,25,101789,101789,252-254 Flinders Lane,Melbourne (CBD),Hell's Kitchen,55,144.9655966,-37.8166033,"(-37.8166033, 144.9655966)"
2012,2530,616160,616160,265-271 Racecourse Road,Kensington,The Quiet Man Irish Pub,400,144.9323559,-37.78860982,"(-37.78860982, 144.9323559)"
2012,104,103219,103219,413-417 Elizabeth Street,Melbourne (CBD),Workshop,230,144.9605226,-37.80918797,"(-37.80918797, 144.9605226)"
2012,803,111175,110477,8 Whiteman Street,Southbank,Lucky Chans,340,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2012,803,111175,110477,8 Whiteman Street,Southbank,Crown Casino,320,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2012,41,108966,108966,122-132 Spencer Street,Melbourne (CBD),Vibe Savoy Hotel Melbourne,40,144.9539293,-37.81777221,"(-37.81777221, 144.9539293)"
2012,1103,558180,558180,122-148 Harbour Esplanade,Docklands,Legends Bar,250,144.9475776,-37.81656591,"(-37.81656591, 144.9475776)"
2012,72,110106,110106,263-267 William Street,Melbourne (CBD),Metropolitan Hotel,300,144.9565837,-37.81292397,"(-37.81292397, 144.9565837)"
2012,56,101202,101202,206-218 Bourke Street,Melbourne (CBD),Wonderland Karaoke,400,144.9668768,-37.81259409,"(-37.81259409, 144.9668768)"
2012,56,101202,101202,206-218 Bourke Street,Melbourne (CBD),VS Sports Bar,80,144.9668768,-37.81259409,"(-37.81259409, 144.9668768)"
2012,23,106436,106436,54-60 Market Street,Melbourne (CBD),R2 Restaurant & Bar,370,144.9608283,-37.81778076,"(-37.81778076, 144.9608283)"
2012,23,106436,106436,54-60 Market Street,Melbourne (CBD),Alexis Restaurant,370,144.9608283,-37.81778076,"(-37.81778076, 144.9608283)"
2012,48,110184,110184,27 Windsor Place,Melbourne (CBD),The Melbourne RSL,240,144.9724924,-37.81194657,"(-37.81194657, 144.9724924)"
2012,77,108573,108573,270 Russell Street,Melbourne (CBD),Chez Regine,90,144.9671591,-37.81011116,"(-37.81011116, 144.9671591)"
2012,78,108991,108991,267-271 Spring Street,Melbourne (CBD),Elm's Family Hotel,200,144.9714481,-37.8086111,"(-37.8086111, 144.9714481)"
2012,51,108963,108963,672-696 Bourke Street,Melbourne (CBD),Mail Exchange Hotel,600,144.9535902,-37.81663038,"(-37.81663038, 144.9535902)"
2012,21,606461,606461,607-623 Collins Street,Melbourne (CBD),Batman's Hill On Collins Hotel,1500,144.95469,-37.81929312,"(-37.81929312, 144.95469)"
2012,17,103925,103925,121-123 Flinders Lane,Melbourne (CBD),Fashion Lounge,350,144.9705132,-37.81567009,"(-37.81567009, 144.9705132)"
2012,27,597183,102071,121-131 Collins Street,Melbourne (CBD),Spice Market,600,144.9698467,-37.81516811,"(-37.81516811, 144.9698467)"
2012,46,109413,109413,146 Swanston Street,Melbourne (CBD),Cabinet Bar ,90,144.9662039,-37.81417648,"(-37.81417648, 144.9662039)"
2012,55,101193,101193,338-352 Bourke Street,Melbourne (CBD),Alto Events,400,144.9632879,-37.81360425,"(-37.81360425, 144.9632879)"
2012,46,111394,111394,16-30 Russell Place,Melbourne (CBD),Bar Ampere,60,144.9674275,-37.81355434,"(-37.81355434, 144.9674275)"
2012,33,105933,105933,425-427 Little Collins Street,Melbourne (CBD),The Irish Times,170,144.9605354,-37.8162542,"(-37.8162542, 144.9605354)"
2012,43,108069,108069,131-141 Queen Street,Melbourne (CBD),The Turf Bar & Restaurant,527,144.9605409,-37.81549904,"(-37.81549904, 144.9605409)"
2012,57,101212,101212,152-158 Bourke Street,Melbourne (CBD),Roxanne Parlour,450,144.9685359,-37.81206119,"(-37.81206119, 144.9685359)"
2012,58,108986,108986,161 Spring Street,Melbourne (CBD),The European,703,144.9724291,-37.8109513,"(-37.8109513, 144.9724291)"
2012,6,578327,573333,2 Swanston Street,Melbourne (CBD),Zinc at Federation Square,1000,144.9699175,-37.81784465,"(-37.81784465, 144.9699175)"
2012,36,102152,102152,162-168 Collins Street,Melbourne (CBD),The Long Room,620,144.9678476,-37.81450301,"(-37.81450301, 144.9678476)"
2012,61,105716,105716,597-603 Lonsdale Street,Melbourne (CBD),The Men's Gallery,675,144.9544951,-37.81491898,"(-37.81491898, 144.9544951)"
2012,96,606638,105490,124 La Trobe Street,Melbourne (CBD),Pearson and Murph'y Cafe,156,144.9645504,-37.80818365,"(-37.80818365, 144.9645504)"
2012,87,108568,108568,296-298 Russell Street,Melbourne (CBD),Ice Lounge & Ski Lounge,152,144.9669287,-37.80957196,"(-37.80957196, 144.9669287)"
2012,87,108567,108567,300 Russell Street,Melbourne (CBD),Jankara Japanese Bar,80,144.966904,-37.80951668,"(-37.80951668, 144.966904)"
2012,17,103921,103921,91-93 Flinders Lane,Melbourne (CBD),Papa Goose,440,144.9712228,-37.81543506,"(-37.81543506, 144.9712228)"
2012,17,103924,103924,107-109 Flinders Lane,Melbourne (CBD),Bisq Bar & Grill,170,144.9708344,-37.81560645,"(-37.81560645, 144.9708344)"
2012,801,559161,559161,3-7 Riverside Quay,Southbank,Eureka 89,150,144.9645668,-37.82166549,"(-37.82166549, 144.9645668)"
2012,803,111175,110477,8 Whiteman Street,Southbank,Number 8,200,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2012,803,111175,110477,8 Whiteman Street,Southbank,The Atlantic,508,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2012,63,105867,105867,428-432 Little Bourke Street,Melbourne (CBD),Chaplin Karaoke Bar,90,144.9597229,-37.81392392,"(-37.81392392, 144.9597229)"
2012,33,102131,110666,394 Collins Street,Melbourne (CBD),Treasury Restaurant,250,144.9610454,-37.81666775,"(-37.81666775, 144.9610454)"
2012,14,101099,101099,16-26 Bond Street,Melbourne (CBD),Bond Lounge,500,144.9630575,-37.81814578,"(-37.81814578, 144.9630575)"
2012,115,104103,104103,34-38 Franklin Street,Melbourne (CBD),Miss Libertine @ Mac's Hotel ,355,144.9616126,-37.80752292,"(-37.80752292, 144.9616126)"
2012,78,110721,580091,33-39 Little Lonsdale Street,Melbourne (CBD),Oddfellows Hotel,400,144.9707325,-37.8091842,"(-37.8091842, 144.9707325)"
2012,64,104665,104665,68-78 Hardware Lane,Melbourne (CBD),Pop,280,144.9611061,-37.8130703,"(-37.8130703, 144.9611061)"
2012,66,105878,105878,242-244 Little Bourke Street,Melbourne (CBD),NG Karaoke Bar,334,144.965603,-37.81213633,"(-37.81213633, 144.965603)"
2012,17,103922,103922,95-101 Flinders Lane,Melbourne (CBD),Rosati Restaurant,840,144.9711039,-37.81553247,"(-37.81553247, 144.9711039)"
2012,43,108068,108068,111-129 Queen Street,Melbourne (CBD),Blue Diamond,200,144.9606367,-37.81581152,"(-37.81581152, 144.9606367)"
2012,6,578324,573333,2 Swanston Street,Melbourne (CBD),Transport Hotel,600,144.9699175,-37.81784465,"(-37.81784465, 144.9699175)"
2012,6,578324,573333,2 Swanston Street,Melbourne (CBD),Transit Cocktail Lounge,200,144.9699175,-37.81784465,"(-37.81784465, 144.9699175)"
2012,801,110335,110335,1-9 Southbank Boulevard,Southbank,Left Bank Melbourne,400,144.9628914,-37.8210403,"(-37.8210403, 144.9628914)"
2012,67,105675,105675,113 Lonsdale Street,Melbourne (CBD),Seamstress,160,144.9690111,-37.81056538,"(-37.81056538, 144.9690111)"
2012,67,102198,102198,22-26 Corrs Lane,Melbourne (CBD),Cash Box KTV,200,144.9683249,-37.8109979,"(-37.8109979, 144.9683249)"
2012,67,102198,102198,22-26 Corrs Lane,Melbourne (CBD),Carpe Diem Bar & Lounge,50,144.9683249,-37.8109979,"(-37.8109979, 144.9683249)"
2012,1104,576024,576023,747-757 Bourke Street,Docklands,The Nixon Hotel Pty Ltd ,300,144.9479753,-37.81925128,"(-37.81925128, 144.9479753)"
2012,67,102199,102199,16-20 Corrs Lane,Melbourne (CBD),Eurotrash Cafeteria & Bar,569,144.9683854,-37.81112914,"(-37.81112914, 144.9683854)"
2012,37,102158,102158,86-88 Collins Street,Melbourne (CBD),Collins Quarter ,373,144.9705847,-37.81393777,"(-37.81393777, 144.9705847)"
2012,43,108068,108068,111-129 Queen Street,Melbourne (CBD),CitiClub On Queen Hotel ,940,144.9606367,-37.81581152,"(-37.81581152, 144.9606367)"
2012,23,102098,102098,415-417 Collins Street,Melbourne (CBD),The Sherlock Holmes Inn,131,144.9608681,-37.81746814,"(-37.81746814, 144.9608681)"
2012,218,106215,106215,298 Lygon Street,Carlton,Carlton Yacht Club Bar,60,144.9673764,-37.79998572,"(-37.79998572, 144.9673764)"
2012,218,106222,106222,270-276 Lygon Street,Carlton,University Hotel,111,144.9672432,-37.8005263,"(-37.8005263, 144.9672432)"
2012,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Strike Bowling,370,144.9657034,-37.810658,"(-37.810658, 144.9657034)"
2012,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Three Degrees,775,144.9657034,-37.810658,"(-37.810658, 144.9657034)"
2012,1103,558180,558180,122-148 Harbour Esplanade,Docklands,E J Whitten Bar ,70,144.9475776,-37.81656591,"(-37.81656591, 144.9475776)"
2012,32,102118,102118,480-490 Collins Street,Melbourne (CBD),Paloma,80,144.9579514,-37.8176551,"(-37.8176551, 144.9579514)"
2012,17,103592,103592,11-37 Exhibition Street,Melbourne (CBD),Eleven 37,123,144.9717262,-37.81546152,"(-37.81546152, 144.9717262)"
2012,57,101221,101221,94-96 Bourke Street,Melbourne (CBD),The Elephant and Wheelbarrow,450,144.9702485,-37.81191058,"(-37.81191058, 144.9702485)"
2012,11,103984,103984,566-580 Flinders Street,Melbourne (CBD),All Nations Backpackers Bar,98,144.9553465,-37.82072034,"(-37.82072034, 144.9553465)"
2012,33,102124,102124,430-442 Collins Street,Melbourne (CBD),The Brasilian Bean,80,144.9597623,-37.81703239,"(-37.81703239, 144.9597623)"
2012,14,103951,103951,341-347 Flinders Lane,Melbourne (CBD),Bull And Bear Tavern,415,144.9630313,-37.81782313,"(-37.81782313, 144.9630313)"
2012,14,104003,104003,2-8 Queen Street,Melbourne (CBD),Candela Nuevo,300,144.9627098,-37.81858716,"(-37.81858716, 144.9627098)"
2012,67,108581,108581,226-236 Russell Street,Melbourne (CBD),Mai Tai Restaurant,170,144.9676444,-37.81098272,"(-37.81098272, 144.9676444)"
2012,270,104468,104468,156-292 Grattan Street,Parkville,University House Club ,611,144.9612468,-37.79739836,"(-37.79739836, 144.9612468)"
2012,57,101216,101216,21-25 Croft Alley,Melbourne (CBD),The Croft Institute,250,144.9690881,-37.81206249,"(-37.81206249, 144.9690881)"
2012,57,101217,101217,124-128 Bourke Street,Melbourne (CBD),Welcome Stranger,350,144.9692645,-37.81207094,"(-37.81207094, 144.9692645)"
2012,48,101113,101113,59-63 Bourke Street,Melbourne (CBD),Club Asuka,150,144.9715659,-37.81212537,"(-37.81212537, 144.9715659)"
2012,52,592048,592048,188-202 King Street,Melbourne (CBD),La Di Da,458,144.9556244,-37.81551353,"(-37.81551353, 144.9556244)"
2012,41,105948,105948,582-584 Little Collins Street,Melbourne (CBD),Saint & Rogue,300,144.9553525,-37.81740928,"(-37.81740928, 144.9553525)"
2012,2530,616125,616125,25-27 Rankins Road,Kensington,Flemington & Kensington RSL Club,90,144.9321953,-37.78932218,"(-37.78932218, 144.9321953)"
2012,65,109292,109292,243-249 Swanston Street,Melbourne (CBD),The Lounge,212,144.9647365,-37.81230108,"(-37.81230108, 144.9647365)"
2012,16,103938,103938,187 Flinders Lane,Melbourne (CBD),The Adelphi Hotel,80,144.9683751,-37.81635789,"(-37.81635789, 144.9683751)"
2012,1110,593739,593739,99-127 Pearl River Road,Docklands,Medibank Icehouse,100,144.9356321,-37.81223232,"(-37.81223232, 144.9356321)"
2012,54,104653,104653,21-25 Hardware Lane,Melbourne (CBD),Campari House,326,144.9613142,-37.81409153,"(-37.81409153, 144.9613142)"
2012,74,104662,104662,106-112 Hardware Street,Melbourne (CBD),Pugg Mahones Irish Bar,200,144.9606805,-37.81213605,"(-37.81213605, 144.9606805)"
2012,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Idarts Hive,100,144.9657034,-37.810658,"(-37.810658, 144.9657034)"
2012,35,102141,102141,280-292 Collins Street,Melbourne (CBD),The Charles Dickens Tavern,450,144.9645574,-37.81567229,"(-37.81567229, 144.9645574)"
2012,85,109302,109302,281-287 Swanston Street,Melbourne (CBD),Mui Karaoke,243,144.9643593,-37.81143223,"(-37.81143223, 144.9643593)"
2012,85,102596,102596,22 Drewery Place,Melbourne (CBD),Sister Bellas,80,144.9638158,-37.81135,"(-37.81135, 144.9638158)"
2012,14,103165,103165,1-5 Elizabeth Street,Melbourne (CBD),Dreams Gentlemen's Club,160,144.964608,-37.81805666,"(-37.81805666, 144.964608)"
2012,255,101593,101593,91-95 Cardigan Street,Carlton,Hotel Lincoln,154,144.9645057,-37.80448528,"(-37.80448528, 144.9645057)"
2012,710,108617,108617,375-385 St Kilda Road,Melbourne (Remainder),Royce Hotel,120,144.9755139,-37.83506751,"(-37.83506751, 144.9755139)"
2012,57,106433,106433,18-24 Market Lane,Melbourne (CBD),Ding Dong Lounge (Currently vacant due to fire damage),396,144.9694031,-37.81175137,"(-37.81175137, 144.9694031)"
